,Unidade de Despesa,lat,lng
0,Agência USP de Cooperação Acadêmica Nacional e Internacional,-23.5613991,-46.7307891
0,Agência USP Inovação,-23.557395,-46.72706849999999
0,Centro de Biologia Marinha,-23.8270593,-45.4237866
0,Centro de Divulgação Científica e Cultural,-23.5613991,-46.7307891
0,Centro de Energia Nuclear na Agricultura,-22.7082803,-47.6434833
0,Centro de Práticas Esportivas da Universidade de São Paulo,-23.5613991,-46.7307891
0,Centro de Tecnologia da Informação 'Luiz de Queiroz',-23.5613991,-46.7307891
0,Centro de Tecnologia da Informação de Ribeirão Preto,-21.1694018,-47.8110855
0,Centro de Tecnologia da Informação de São Carlos,-22.006781,-47.895004
0,Centro de Tecnologia da Informação de São Paulo,-23.5557714,-46.6395571
0,Editora da Universidade de São Paulo,-23.5611751,-46.72207849999999
0,"Escola de Artes, Ciências e Humanidades",-23.4823919,-46.5004498
0,Escola de Comunicações e Artes,-23.5580368,-46.7267192
0,Escola de Educação Física e Esporte,-23.5632663,-46.7132014
0,Escola de Educação Física e Esporte de Ribeirão Preto,-21.1694018,-47.8110855
0,Escola de Enfermagem,-23.5565005,-46.6714339
0,Escola de Enfermagem de Ribeirão Preto,-21.1694018,-47.8110855
0,Escola de Engenharia de Lorena,-22.6970451,-45.1191027
0,Escola de Engenharia de São Carlos,-22.0041141,-47.8984947
0,Escola Politécnica,-23.5571596,-46.7302283
0,Faculdade de Arquitetura e Urbanismo,-23.560191,-46.7299067
0,Faculdade de Ciências Farmacêuticas,-23.564402,-46.7237746
0,Faculdade de Ciências Farmacêuticas de Ribeirão Preto,-21.1694018,-47.8110855
0,Faculdade de Direito,-23.549848,-46.6368084
0,Faculdade de Direito de Ribeirão Preto,-21.1661725,-47.8460692
0,"Faculdade de Economia, Administração e Contabilidade",-23.5613991,-46.7307891
0,"Faculdade de Economia, Administração e Contabilidade de Ribeirão Preto",-21.1694018,-47.8110855
0,Faculdade de Educação,-23.562496,-46.7153584
0,"Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto",-21.1641953,-47.8590129
0,"Faculdade de Filosofia, Letras e Ciências Humanas",-23.5615578,-46.7292998
0,Faculdade de Medicina,-23.5613991,-46.7307891
0,Faculdade de Medicina de Ribeirão Preto,-21.163319,-47.8542987
0,Faculdade de Medicina Veterinária e Zootecnia,-23.5697241,-46.73908489999999
0,Faculdade de Odontologia,-23.5669506,-46.7383534
0,Faculdade de Odontologia de Bauru,-22.3353254,-49.0602934
0,Faculdade de Odontologia de Ribeirão Preto,-21.1716316,-47.8462293
0,Faculdade de Saúde Pública,-23.5540718,-46.6729789
0,Faculdade de Zootecnia e Engenharia de Alimentos,-23.5697241,-46.73908489999999
0,Hospital Universitário,-23.5649363,-46.7405751
0,Instituto de Arquitetura e Urbanismo,-22.0034631,-47.8983783
0,"Instituto de Astronomia, Geofísica e Ciências Atmosféricas",-23.5596434,-46.7338768
0,Instituto de Biociências,-23.5663109,-46.7304389
0,Instituto de Ciências Biomédicas,-23.5676212,-46.731594
0,Instituto de Ciências Matemáticas e de Computação,-22.0041141,-47.8984947
0,Instituto de Energia e Ambiente,-23.5579413,-46.7333307
0,Instituto de Estudos Avançados,-23.56114,-46.72284680000001
0,Instituto de Estudos Brasileiros,-23.5622428,-46.7223302
0,Instituto de Física,-23.5599981,-46.735252
0,Instituto de Física de São Carlos,-22.0086421,-47.8975143
0,Instituto de Geociências,-23.5617959,-46.72775
0,Instituto de Matemática e Estatística,-23.5594024,-46.7318382
0,Instituto de Medicina Tropical de São Paulo,-23.5555572,-46.671688
0,Instituto de Psicologia,-23.5555149,-46.7247436
0,Instituto de Química,-23.5653353,-46.7258011
0,Instituto de Química de São Carlos,-22.0041141,-47.8984947
0,Instituto de Relações Internacionais,-23.5565056,-46.7288095
0,Instituto Oceanográfico,-23.5609893,-46.7320137
0,Museu de Arqueologia e Etnologia,-23.5592844,-46.7413002
0,Museu de Arte Contemporânea,-23.5613991,-46.7307891
0,Museu de Zoologia,-23.5881661,-46.610124
0,Museu Paulista,-23.585578,-46.609679
0,Prefeitura do Campus Usp  Fernando Costa,-23.5614744,-46.72259709999999
0,Prefeitura do Campus USP da Capital,-23.5614744,-46.72259709999999
0,Prefeitura do Campus USP de Bauru,-22.3155297,-49.0708221
0,Prefeitura do Campus USP de Ribeirão Preto,-21.1676636,-47.8550799
0,Prefeitura do Campus USP de São Carlos,-22.004556,-47.8972953
0,Prefeitura do Campus USP Luiz de Queiroz,-23.5614744,-46.72259709999999
0,Prefeitura Quadrilátero Saúde / Direito,-23.5613991,-46.7307891
0,Reitoria de Cultura e Extensão Universitária,-23.5613991,-46.7307891
0,Reitoria de Graduação,-23.5587552,-46.7258566
0,Reitoria de Pesquisa,-23.5613991,-46.7307891
0,Reitoria de Pós-Graduação,-23.5613991,-46.7307891
0,Reitoria da Universidade de São Paulo,-23.5589352,-46.7258338
0,Serviço de Verificação de Óbitos da Capital,-23.5613991,-46.7307891
0,Serviço de Verificação de Óbitos do Interior,-23.5613991,-46.7307891
0,Serviço Especial de Saúde de Araraquara,-21.7790843,-48.1792643
0,Sistema Integrado de Bibliotecas,-23.5614964,-46.7225308
0,Superintendência de Assistência Social,-23.5613991,-46.7307891
0,Superintendência de Comunicação Social,-23.5613991,-46.7307891
0,Superintendência de Relações Institucionais,-23.5613991,-46.7307891
0,Superintendência de Tecnologia da Informação,-23.5613991,-46.7307891
0,Superintendência do Espaço Físico,-23.5608684,-46.7223068
0,Assistência Médica e Odontológica,-23.5613991,-46.7307891
0,Escola Técnica e de Gestão da USP,-23.5613991,-46.7307891
0,Superintendência de Segurança,-23.5613991,-46.7307891
0,Administração Geral,-23.5613991,-46.7307891
0,Centro de Difusão Internacional,-23.55696,-46.72705819999999
0,Espaço Brasiliana,-23.5613991,-46.7307891
0,Espaço Inova USP,-23.557395,-46.72706849999999
0,Prefeitura do Campus Usp de Bauru,-22.3155297,-49.0708221
0,Prefeitura Usp do Quadrilátero Saúde / Direito,-23.5614744,-46.72259709999999
0,Centro de Inovação da Universidade de São Paulo,-23.5557714,-46.6395571
0,Administração Central,-23.5613991,-46.7307891
0,Agência USP de Gestão da Informação Acadêmica,-23.5613991,-46.7307891
0,Prefeitura do Campus USP  Fernando Costa,-23.5614744,-46.72259709999999
0,Prefeitura USP do Quadrilátero Saúde / Direito,-23.5614744,-46.72259709999999
0,Superintendência de Prevenção e Proteção Universitária,-23.5613991,-46.7307891
0,Agência de Bibliotecas e Coleções Digitais,-23.5613991,-46.7307891
0,"Faculdade de Economia, Administração, Contabilidade e Atuária",-23.5613991,-46.7307891
0,Pró-Reitoria de Cultura e Extensão Universitária,-23.5587151,-46.7257749
0,Pró-Reitoria de Inclusão e Pertencimento,-23.5585982,-46.7257498
0,Pró-Reitoria de Pós-Graduação,-23.5613991,-46.7307891
